Carrierboard schematic name, FPGA pin name, Vivado port name
ANL_09_P, AB4 , A2_IN[0]
ANL_09_N, AC4 , A2_IN[1]
ANL_07_P, AJ5 , A2_IN[2]
ANL_07_N, AK5 , A2_IN[3]
ANL_05_P, AH3 , A2_IN[4]
ANL_05_N, AH2 , A2_IN[5]
ANL_03_P, AF6 , A2_IN[6]
ANL_03_N, AF5 , A2_IN[7]
ANL_10_P, AH6 , A2_IN[8]
ANL_10_N, AJ6 , A2_IN[9]
ANL_08_P, AH4 , A2_IN[10]
ANL_08_N, AJ4 , A2_IN[11]
ANL_06_P, AG6 , A2_IN[12]
ANL_06_N, AG5 , A2_IN[13]
ANL_04_P, AJ10, A2_IN[14]
ANL_04_N, AK10, A2_IN[15]
ANL_02_P, AK8, A2_OUT_CNV_1[0]
ANL_02_N, AK9, A2_OUT_CNV_0[0]
ANL_01_P, AH7, A2_OUT_CLK[0]
ANL_01_N, AJ7, A2_OUT_CLK[1]
