Command,Group,Description,Arguments,Source
load,Data / runs,Load a .csv/.parquet log; the optional start normalises the time origin.,"path:str, [start:float]",commands.py:330
convert,Data / runs,Stream-convert a large CSV to Parquet (loads with a ~1.5x memory peak); dst defaults to src with a .parquet extension.,"src:str, [dst:str]",commands.py:339
normalize_time,Data / runs,Shift a run so its first sample sits at start (default 0).,"run:run, [start:float]",commands.py:350
reset_time,Data / runs,Restore a run's original (un-normalised) timestamps.,run:run,commands.py:360
remove_run,Data / runs,Remove a loaded run and its plots.,run:run,commands.py:386
set_active,Data / runs,Show/hide a run without removing it.,"run:run, on:bool",commands.py:391
set_grid,Layout,Set the subplot grid to rows x cols.,"rows:int, cols:int",commands.py:369
link_x,Layout,Link/unlink the X axes across subplots.,on:bool,commands.py:375
set_max_points,Layout,Max points drawn per signal (downsample budget).,n:int,commands.py:380
add_signal,Signals,Add a signal to a subplot.,"plot:plot, run:run, signal:str",commands.py:400
remove_signal,Signals,Remove a signal from a subplot.,"plot:plot, run:run, signal:str",commands.py:409
clear_plot,Signals,Remove all signals from a subplot.,plot:plot,commands.py:416
set_plot_type,Signals,Set a subplot's type (line/scatter/stairs/xy).,"plot:plot, type:str",commands.py:421
set_xy_style,Signals,"Set the XY plot draw style: Line, Markers, or Both.","plot:plot, style:str",commands.py:427
set_xy,Signals,Use a signal as the X axis (XY plot) for a subplot.,"plot:plot, run:run, signal:str",commands.py:486
set_axis,Signals,Assign a signal to the left or right Y axis of a subplot.,"plot:plot, run:run, signal:str, side:str",commands.py:516
set_x_lim,View,Set a subplot's X-axis limits.,"plot:plot, min:float, max:float",commands.py:438
set_y_lim,View,Set a subplot's Y-axis limits.,"plot:plot, min:float, max:float",commands.py:448
reset_view,View,Auto-fit a subplot to its data extent.,plot:plot,commands.py:455
show_samples,Tools,Toggle per-sample markers on a subplot.,"plot:plot, on:bool",commands.py:460
spy,Tools,Toggle the spy (drag-rect zoom inset) on a subplot.,"plot:plot, on:bool",commands.py:466
set_spy_rect,Tools,Position the spy rectangle (enables spy).,"plot:plot, xmin:float, ymin:float, xmax:float, ymax:float",commands.py:475
cursors,Tools,Toggle two measurement cursors (Δx / frequency readout) on a subplot.,"plot:plot, on:bool",commands.py:498
set_cursors,Tools,Place the two cursors at x1 and x2 (enables cursors).,"plot:plot, x1:float, x2:float",commands.py:507
export_data,Tools,Export a subplot's signals to CSV (relative=true zeroes the start time).,"plot:plot, path:str, [relative:bool]",commands.py:536
set_export_relative,Tools,Toggle 'start time at 0' for a subplot's CSV export.,"plot:plot, on:bool",commands.py:545
fft_source,FFT window,Add a signal to the FFT window (it can show several at once).,"run:run, signal:str",commands.py:559
fft_clear,FFT window,Remove all signals from the FFT window.,,commands.py:572
fft_remove,FFT window,Remove a signal from the FFT window.,"run:run, signal:str",commands.py:577
fft_follow,FFT window,Set the FFT time window source (custom / full / plot_N).,target:fwindow,commands.py:587
fft_range,FFT window,Set the FFT custom time window.,"min:float, max:float",commands.py:599
fft_xlim,FFT window,Set the FFT plot's X-axis view limits.,"min:float, max:float",commands.py:606
fft,FFT window,Recompute and focus the FFT window.,,commands.py:615
fft_remove_dc,FFT window,Toggle FFT DC removal.,on:bool,commands.py:621
fft_hann,FFT window,Toggle the FFT Hann window.,on:bool,commands.py:627
fft_logx,FFT window,Toggle the FFT log X axis.,on:bool,commands.py:633
fft_logy,FFT window,Toggle the FFT log Y axis.,on:bool,commands.py:638
fft_export,FFT window,Export the FFT spectra to CSV.,path:str,commands.py:643
hist_source,Histogram window,Add a signal to the Histogram window (it can show several at once).,"run:run, signal:str",commands.py:559
hist_clear,Histogram window,Remove all signals from the Histogram window.,,commands.py:572
hist_remove,Histogram window,Remove a signal from the Histogram window.,"run:run, signal:str",commands.py:577
hist_follow,Histogram window,Set the Histogram time window source (custom / full / plot_N).,target:fwindow,commands.py:587
hist_range,Histogram window,Set the Histogram custom time window.,"min:float, max:float",commands.py:599
hist_xlim,Histogram window,Set the Histogram plot's X-axis view limits.,"min:float, max:float",commands.py:606
histogram,Histogram window,Recompute and focus the Histogram window.,,commands.py:650
hist_bins,Histogram window,Set the Histogram bin count.,n:int,commands.py:656
hist_export,Histogram window,Export the histogram bins to CSV.,path:str,commands.py:662
node_source,Nodes,Add a source node wrapping a loaded signal (the graph's input).,"run:run, signal:str",commands.py:729
node_add,Nodes,"Add a transform node (fft, math, filter, shift, or an installed plugin kind).",kind:str,commands.py:739
node_set,Nodes,"Set a transform node parameter (e.g. node_set(node_2, cutoff, 1000)).","node:node, key:str, value:str",commands.py:750
node_link,Nodes,Connect a node's output to another node's input.,"src:node, dst:node",commands.py:757
node_unlink,Nodes,Disconnect a node link.,"src:node, dst:node",commands.py:763
node_remove,Nodes,"Remove a node (and its derived run, if any).",node:node,commands.py:769
node_rename,Nodes,Rename a node (its derived run takes the new name).,"node:node, name:str",commands.py:778
node_pos,Nodes,Set a node's canvas position.,"node:node, x:float, y:float",commands.py:791
node_eval,Nodes,"Evaluate the graph (or one node + its inputs), materializing derived signals.",[node:node],commands.py:797
load_plugins,Nodes,Load external node plugins from a directory (or the configured defaults).,[dir:str],commands.py:804
save_state,Session,Save the GUI state to a JSON file.,path:str,commands.py:673
load_state,Session,Restore the GUI state from a JSON file.,path:str,commands.py:680
export_script,Session,Write the session as a replayable .uzscript.,path:str,commands.py:687
run_script,Session,Replay commands from a .uzscript file.,path:str,commands.py:695
clear_console,Console,Clear the console log.,,commands.py:703
help,Console,"List commands, or show help for one.",[name:str],commands.py:708
