Carrierboard schematic name, FPGA pin name, Vivado port name
ANL_09_P, AD4, A3_IN[0]
ANL_09_N, AE4, A3_IN[1]
ANL_07_P, AF3, A3_IN[2]
ANL_07_N, AG3, A3_IN[3]
ANL_05_P, AK4, A3_IN[4]
ANL_05_N, AK3, A3_IN[5]
ANL_03_P, AK7, A3_IN[6]
ANL_03_N, AK6, A3_IN[7]
ANL_10_P, AC7, A3_IN[8]
ANL_10_N, AD7, A3_IN[9]
ANL_08_P, AG1, A3_IN[10]
ANL_08_N, AH1, A3_IN[11]
ANL_06_P, AC2, A3_IN[12]
ANL_06_N, AD2, A3_IN[13]
ANL_04_P, AE3, A3_IN[14]
ANL_04_N, AE2, A3_IN[15]
ANL_02_P, AK2, A3_OUT_CNV_1[0]
ANL_02_N, AJ2, A3_OUT_CNV_0[0]
ANL_01_P, AB8, A3_OUT_CLK[0]
ANL_01_N, AC8, A3_OUT_CLK[1]
