Sample in Buffer,Sample in Window,TRIGGER,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe0_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe1_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe2_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe3_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe4_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe5_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe6_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe7_1[3:0],zusys_i/uz_system/Interrupt/system_ila_0/U0/probe8_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe9_1[9:0],zusys_i/uz_system/Interrupt/system_ila_0/U0/probe10_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe11_1,zusys_i/uz_system/Interrupt/system_ila_0/U0/probe12_1[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,0,0,0,0,0,0,001,0,1,00
1,1,0,0,0,0,0,0,0,0,0,0,001,0,1,00
2,2,0,0,0,0,0,0,0,0,0,0,001,0,1,00
3,3,0,0,0,0,0,0,0,0,0,0,001,0,1,00
4,4,0,0,0,0,0,0,0,0,0,0,001,0,1,00
5,5,0,0,0,0,0,0,0,0,0,0,001,0,1,00
6,6,0,0,0,0,0,0,0,0,0,0,001,0,1,00
7,7,0,0,0,0,0,0,0,0,0,0,001,0,1,00
8,8,0,0,0,0,0,0,0,0,0,0,001,0,1,00
9,9,0,0,0,0,0,0,0,0,0,0,001,0,1,00
10,10,0,0,0,0,0,0,0,0,0,0,001,0,1,00
11,11,0,0,0,0,0,0,0,0,0,0,001,0,1,00
12,12,0,0,0,0,0,0,0,0,0,0,001,0,1,00
13,13,0,0,0,0,0,0,0,0,0,0,001,0,1,00
14,14,0,0,0,0,0,0,0,0,0,0,001,0,1,00
