Pin,Digital voltage card,Loopback PCB,LED,ADC card
1,VIN,24V,24V,
2,DIG_IO_P1,PWM_G1,LED_G1_D6,AIN_A_P4
3,DIG_IO_P2,PWM_G7,LED_G7_D6,AIN_B_P2
4,DIG_IO_P3,PWM_G2,LED_G2_D6,AIN_A_P3
5,DIG_IO_P4,PWM_G9,LED_G9_D6,
6,DIG_IO_P5,PWM_G3,LED_G3_D6,AIN_A_P2
7,DIG_IO_P6,PWM_G10,LED_G10_D6,
8,DIG_IO_P7,IO_P1,LED1_D5,
9,DIG_IO_P8,IO_P2,LED2_D5,
10,15V,15V,15V,
11,DIG_IO_P9,IO_P3,LED3_D5,
12,DIG_IO_P10,IO_P4,LED4_D5,
13,DIG_IO_P11,IO_P5,LED5_D5,
14,DIG_IO_P12,IO_P6,LED6_D5,
15,DIG_IO_P13,IO_P7,LED7_D5,
