Pin on X10, Signal, Function, Direction, Specification
1 + 7, 3V3_PER, power supply, output, 3.3 V / 150 mA
2 + 8, GND, Ground, ,
3, EXT_SPI0_MOSI, SPI master out slave in, output, 3.3 V / 10 mA
4, EXT_SPI0_SCLK, SPI clock, output, 3.3 V / 10 mA
5, EXT_UART1_RX, UART receive, input, 3.3 V / 10 mA
6, EXT_I2C1_SCL, I2C serial clock, bi-directional, 3.3 V / 10 mA
9, EXT_SPI0_MISO, SPI master in slave out, input, 3.3 V / 10 mA
10, EXT_SPI0_CS, SPI chip select, output, 3.3 V / 10 mA
11, EXT_UART1_TX, UART transmit, output, 3.3 V / 10 mA
12, EXT_I2C1_SDA, I2C serial data, bi-directional, 3.3 V / 10 mA
