SoC-Pin,Interface Type,Xilinx Name,SoM-Pin,"Schematic, PCB, Connector Label",CB-Pin,FP\_
 MIO0,QSPI,sclk_out,,,,
 MIO1,QSPI,miso_mo1,,,,
 MIO2,QSPI,mo2,,,,
 MIO3,QSPI,mo3,,,,
 MIO4,QSPI,mosi_mi0,,,,
 MIO5,QSPI,n_ss_out,,,,
 MIO6,QSPI,clk_for_lpbk,NC!,,,
 MIO7,QSPI,n_ss_out_upper,,,,
 MIO8,QSPI,mo_upper[0],,,,
 MIO9,QSPI,mo_upper[1],,,,
MIO10,QSPI,mo_upper[2],,,,
MIO11,QSPI,mo_upper[3],,,,
MIO12,QSPI,sclk_out_upper,,,,
MIO13,GPIO0,gpio0[13],J3-72,tbd → tbd,Xtbd-tbd,LED1
MIO14,I2C_0,scl(_out),J3-74,PLL_SCL → PS_I2C_SCL_3V3,SoM; A1-3; D1-5; CPLDs,
MIO15,I2C_0,sda(_out),J3-76,PLL_SDA → PS_I2C_SDA_3V3,Cf. MIO14,
MIO16,I2C_1,scl(_out),J3-78,PS_I2C1_SCL → EXT_I2C1_SCL,X10-6,
MIO17,I2C_1,sda(_out),J3-80,PS_I2C1_SDA → EXT_I2C1_SDA,X10-12,
MIO18,UART0,rxd,J3-82,PS_UART0_RX,X8-7,
MIO19,UART0,txd,J3-71,PS_UART0_TX,X8-3,
MIO20,UART1,txd,J3-73,PS_UART1_TX → EXT_UART1_TX,X10-11,
MIO21,UART1,rxd,J3-75,PS_UART1_RX → EXT_UART1_RX,X10-5,
MIO22,CAN_0,phy_rx,J3-77,CAN0_RXD,?P1A-1?,
MIO23,CAN_0,phy_tx,J3-79,CAN0_TXD,?P1A-2?,
MIO24,CAN_1,phy_tx,J3-81,CAN1_TXD,?P1B-2?,
MIO25,CAN_1,phy_rx,J3-83,CAN1_RXD,?P1B-1?,
MIO26²,PMU,gpi[0],J3-88,tbd → tbd,TPtbd,*IRQ*
MIO27²,DP,aux_data_out,J3-90,tbd → tbd,Xtbd-tbd,Via
MIO28²,DP,hot_plug_detect,J3-92,tbd,Xtbd-tbd,S³C
MIO29²,DP,aux_data_oe,J3-94,tbd,Xtbd-tbd,to
MIO30²,DP,aux_data_in,J3-96,tbd,Xtbd-tbd,FP.
MIO31²,PMU,gpi[5],J3-98,tbd,TPtbd,*!IRQ*
MIO32¹,SPI_1,sclk(_out),J3-87,tbd → tbd,Xtbd-tbd,iso-
MIO33¹,PMU,gpo[1],J3-89,tbd → tbd,Xtbd-tbd,*Alt.: CS2*
MIO34¹,SPI_1,n_ss_out[1],J3-91,tbd → tbd,Xtbd-tbd,*Alt.: PMU*
MIO35¹,SPI_1,n_ss_out[0],J3-93,tbd → tbd,Xtbd-tbd,SPI
MIO36¹,SPI_1,miso,J3-95,tbd → tbd,Xtbd-tbd,to
MIO37¹,SPI_1,mosi,J3-97,tbd → tbd,Xtbd-tbd,FP.
MIO38,SPI_0,sclk(_out),J3-102,tbd → tbd,,*2x to*
MIO39,SPI_0,n_ss_out[2],J3-104,tbd → tbd,,*S³C-*
MIO40,SPI_0,n_ss_out[1],J3-106,tbd → tbd,,*& 5x*
MIO41,SPI_0,n_ss_out[0],J3-108,tbd → tbd,,*to D-*
MIO42,SPI_0,miso,J3-110,tbd → tbd,,*CP-*
MIO43,SPI_0,mosi,J3-112,tbd → tbd,,*LDs.*
MIO44,GPIO1,gpio1[44],J3-101,tbd → tbd,Xtbd-tbd,SW1 (sys)
MIO45,SD-Card1,cd_n,J3-103,(via S³C to µSD),,
MIO46,SD-Card1,data_io[0],J3-105,,,
MIO47,SD-Card1,data_io[1],J3-107,,,
MIO48,SD-Card1,data_io[2],J3-109,,,
MIO49,SD-Card1,data_io[3],J3-111,,,
MIO50,SD-Card1,cmd_io,J3-113,,,
MIO51,SD-Card1,clk_out,J3-114,,,
MIO52,PCIe,reset_n,J3-118,,,to FP
MIO53,GPIO2,gpio2[53],J3-120,,,*Pwr*
MIO54,GPIO2,gpio2[54],J3-122,,,*I²C0i*
MIO55,GPIO2,gpio2[55],J3-124,,,*& rst*
MIO56,GPIO2,gpio2[56],J3-126,,,LED2
MIO57,GPIO2,gpio2[57],J3-128,,,LED3
MIO58,GPIO2,gpio2[58],J3-117,,,LED4
MIO59,GPIO2,gpio2[59],J3-119,,,SWx
MIO60,GPIO2,gpio2[60],J3-121,,,SWy
MIO61,GPIO2,gpio2[61],J3-123,,,:ref:`eSTP <external_stop>`
MIO62,GPIO2,gpio2[62],J3-125,PS_ANL_sharedA,X5*-56,
MIO63,GPIO2,gpio2[63],J3-127,,,*spare*
MIO64,Ethernet,rgmii_tx_clk,J3-131,,,
MIO65,Ethernet,rgmii_txd[0],J3-133,,,
MIO66,Ethernet,rgmii_txd[1],J3-135,,,
MIO67,Ethernet,rgmii_txd[2],J3-137,,,
MIO68,Ethernet,rgmii_txd[3],J3-139,,,
MIO69,Ethernet,rgmii_tx_ctl,J3-141,,,
MIO70,Ethernet,rgmii_rx_clk,J3-132,,,
MIO71,Ethernet,rgmii_rxd[0],J3-134,,,
MIO72,Ethernet,rgmii_rxd[1],J3-136,,,
MIO73,Ethernet,rgmii_rxd[2],J3-138,,,
MIO74,Ethernet,rgmii_rxd[3],J3-140,,,
MIO75,Ethernet,rgmii_rx_ctl,J3-142,,,
MIO76,MDIO3,gem3_mdc,J3-143,,,
MIO77,MDIO3,gem3_mdio(...),J3-144,,,
