Port Name,Port Type,Data Type,Target Platform Interfaces,Range,Unit,Function
miso[5:0],Input,bool,External Signal,,,SPI communication Master-Input-Slave-Output signal: Here the data of 1-6 MAX11331 chips are received. Default only 1 chip is present.
sclk,Output,bool,External Signal,,,SPI communication clock signal for the MAX11331 chip.
mosi,Output,bool,External Signal,,,SPI communication Master- Output-Slave-Input signal. This signal is used to configure the MAX11331 chip. If several MAX11331 chips are present on the SPI line all of them receive the same configuration.
ss_n,Output,bool,External Signal,,,SPI communication slave-select signal. If several MAX11331 chips are present on the SPI line all of them receive the same chip-select.
enable_measure,Input,bool,External Signal,,,Trigger to start ADC sampling of its 16 (8) channels. The initialization by the R5 processor must have been completed before (init_done pin is high) to be able to read out the results in the ADC chip by the IP-core.
init_done,Output,bool,External Signal,,,Flag to indicate the end of initialization.
meas_done,Output,bool,External Signal,,,Flag to indicate the end of 16 (8) channels sampling.
new_data,Output,bool,External Signal,,,Flag to indicate the update of all channel data vector.
error,Output,bool,External Signal,,,Flag to indicate an error in initialization echo read.
clk_division,Input,fix4_En0,AXI4-Lite,0x1...,divider,Setting the clock divider using the spi_cfgr function.
adc_selector_forceinit,Input,fix6_En0,AXI4-Lite,0x1...,divider,Selecting the master used by using the check_echo_of_master function. 
ch0[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 0
ch1[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 1
ch2[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 2
ch3[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 3
ch4[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 4
ch5[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 5
ch6[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 6
ch7[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 7
ch8[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 8
ch9[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 9
ch10[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 10
ch11[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 11
ch12[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 12
ch13[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 13
ch14[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 14
ch15[15:0],Output,sfix16_En0,External Signal,4096,Raw,ADC value of channel 15
