Sector, Sequence
1, [56 - 40 - 41 -  9 - 11 - 15]
2, [56 - 57 - 41 -  9 - 11 -  3]
3, [ 0 -  1 -  9 - 11 - 27 - 59]
4, [ 0 -  8 -  9 - 11 - 27 - 31]
5, [ 7 - 15 - 11 - 27 - 26 - 24]
6, [ 7 -  3 - 11 - 27 - 26 - 58]
7, [63 - 59 - 27 - 26 - 18 -  2]
8, [63 - 31 - 27 - 26 - 18 - 16]
9, [56 - 24 - 26 - 18 - 22 - 23]
10,[56 - 58 - 26 - 18 - 22 -  6]
11,[ 0 -  2 - 18 - 22 - 54 - 62]
12,[ 0 - 16 - 18 - 22 - 54 - 55]
13,[ 7 - 23 - 22 - 54 - 52 - 48]
14,[ 7 -  6 - 22 - 54 - 52 - 60]
15,[63 - 62 - 54 - 52 - 36 -  4]
16,[63 - 55 - 54 - 52 - 36 - 32]
17,[56 - 48 - 52 - 36 - 37 - 39]
18,[56 - 60 - 52 - 36 - 37 -  5]
19,[ 0 -  4 - 36 - 37 - 45 - 61]
20,[ 0 - 32 - 36 - 37 - 45 - 47]
21,[ 7 - 39 - 37 - 45 - 41 - 40]
22,[ 7 -  5 - 37 - 45 - 41 - 57]
23,[63 - 61 - 45 - 41 -  9 -  1]
24,[63 - 47 - 45 - 41 -  9 -  8]
