operating_point,i_d_A,i_q_A,L_dd_H,L_dq_H,L_qd_H,L_qq_H
0,-8.0,-8.0,0.002404291148878763,0.0001368386763605043,-0.00027756589196600845,0.0018502517547527232
1,-7.11,-8.0,0.0021421216047821344,-5.31144444151704e-05,-3.0083487627697095e-05,0.0020313514865835953
2,-6.22,-8.0,0.0019881039860588194,-4.901247099056011e-05,7.749159263567389e-05,0.0020009492661443255
3,-5.33,-8.0,0.001960658787300954,-5.0277394123906735e-05,7.188581979533822e-05,0.002032553495846629
4,-4.44,-8.0,0.00197801716031314,-3.182928428430501e-06,9.097739333224775e-05,0.0020209739752553627
5,-3.56,-8.0,0.0019883020700302706,2.9053257042180314e-06,8.304649168366061e-05,0.001987804124726349
6,-2.67,-8.0,0.0019486869698350576,-2.008589671188485e-05,9.699515810578617e-05,0.0020156732612058702
7,-1.78,-8.0,0.001901303077969048,4.543210785384888e-06,0.00010986923274410205,0.0019934635810612638
8,-0.89,-8.0,0.0018850756131267403,3.5742134545050513e-05,9.988699194292232e-05,0.0019662450088346623
9,0.0,-8.0,0.0018910961495914452,3.537282467735818e-05,0.00011517619391303996,0.0019878229273632858
10,-8.0,-6.22,0.0020310556874248327,2.6872867389270486e-05,8.770065773207932e-05,0.0020347751619958147
11,-7.11,-6.22,0.0020181414365019086,-3.178182670213539e-05,6.511477015308954e-05,0.0020839078339043816
12,-6.22,-6.22,0.0019980993000531452,-3.5236321820113214e-05,7.587889176769672e-05,0.0020744741661657866
13,-5.33,-6.22,0.0019986559781542124,-1.4628249004746546e-05,7.92640807282018e-05,0.002079480422905393
14,-4.44,-6.22,0.0020083443508533035,-5.071482675728101e-06,5.9217705670772114e-05,0.0020692059789204774
15,-3.56,-6.22,0.001981809755190765,-6.909114531406316e-06,7.497213813942565e-05,0.002061288619079944
16,-2.67,-6.22,0.0019557614756511195,-1.3240743203662975e-06,8.91233673485951e-05,0.0020592053377827815
17,-1.78,-6.22,0.0019375460318694394,5.602012019552405e-06,7.452877833539259e-05,0.0020398855812306465
18,-0.89,-6.22,0.001911119738274833,1.5333802223483142e-05,9.107516685337089e-05,0.002037952681336573
19,0.0,-6.22,0.0018873670971085443,2.6860648423764413e-05,0.00014704366288573537,0.0020279025847495225
20,-8.0,-4.44,0.00205927197456629,-2.3388975263730072e-05,3.6097474962585446e-05,0.0021466612356435847
21,-7.11,-4.44,0.002017903226363372,-2.406881796961774e-05,4.9314520712246714e-05,0.002147981820220069
22,-6.22,-4.44,0.0020224111414535954,-1.69411045862055e-05,6.863677063769728e-05,0.0021469738640180506
23,-5.33,-4.44,0.002020988465589721,-9.174341822999407e-06,6.134944530471892e-05,0.002127450124017645
24,-4.44,-4.44,0.0019932846786806617,-1.4733362879581699e-05,5.4439462793971424e-05,0.002123746019715515
25,-3.56,-4.44,0.001995671014423047,-6.801052535537408e-06,6.279833101029229e-05,0.0021236816080388264
26,-2.67,-4.44,0.001973709222936968,-2.1276322313672907e-06,5.418908240719007e-05,0.0021078623495993836
27,-1.78,-4.44,0.0019346188310567433,1.3008404472318602e-06,6.736391985168438e-05,0.0021022761958445478
28,-0.89,-4.44,0.0019275928859351678,7.905379120204739e-06,7.592099898067438e-05,0.002099198902399002
29,0.0,-4.44,0.0019407936463852749,1.6358952255501186e-05,5.874141417887627e-05,0.0020732221912311086
30,-8.0,-2.67,0.002013191565540459,-2.1333497672491875e-05,9.697829293157326e-05,0.002189172665169361
31,-7.11,-2.67,0.0020309260403847205,-2.470379859224707e-05,6.555773554123593e-05,0.0021914939136632723
32,-6.22,-2.67,0.002027910091379044,-1.0873534019765693e-05,3.507974759775316e-05,0.0021775651182493814
33,-5.33,-2.67,0.002003284544092078,-2.1929032890756484e-05,3.299841691286514e-05,0.002166426756524049
34,-4.44,-2.67,0.002013213206145257,-1.572062733811233e-05,5.1729852532159375e-05,0.0021678944813174287
35,-3.56,-2.67,0.002007180752474521,-6.907523496009135e-06,4.351066248443414e-05,0.0021496859596635857
36,-2.67,-2.67,0.0019720300621887676,-1.4229057070996518e-05,4.628121527241536e-05,0.002147196129205452
37,-1.78,-2.67,0.0019574104780248347,-5.538276601484149e-06,5.726734576382052e-05,0.002145014249954344
38,-0.89,-2.67,0.0019411672203759542,4.634568601702069e-06,3.3286121610337244e-05,0.00212373588405487
39,0.0,-2.67,0.0019251625472204298,1.5425264510461612e-06,-2.3921881224710922e-06,0.0021210539881246636
40,-8.0,-0.89,0.0020117765325130404,-3.1837658005337555e-05,7.731073158735963e-05,0.0022584577943592513
41,-7.11,-0.89,0.0020387346833885406,-1.2448049230378427e-05,2.5849789888370955e-05,0.002235927339058408
42,-6.22,-0.89,0.002027914038948876,-3.104069121657657e-05,1.8741080521067315e-05,0.002223613763082902
43,-5.33,-0.89,0.0020114675036526433,-1.527794450140174e-05,4.227479062247192e-05,0.002221843086795843
44,-4.44,-0.89,0.002023418260758414,-1.6443065791897638e-05,2.0253689656921656e-05,0.002212229679083259
45,-3.56,-0.89,0.0019989169867318073,-2.20224705822121e-05,2.090778461425564e-05,0.0021886097986079773
46,-2.67,-0.89,0.001976474479749607,-1.6195823673931242e-05,4.490887599308967e-05,0.0021806770716313673
47,-1.78,-0.89,0.0019721943963307877,-2.0672186070762322e-05,2.0425293651179675e-05,0.002172029610748128
48,-0.89,-0.89,0.0019416406809838194,-9.50416183756464e-06,2.8348217512977553e-05,0.0021593568039273785
49,0.0,-0.89,0.0019019629434024604,-2.0537652505897563e-05,8.597425779938248e-05,0.0021474005659377717
50,-8.0,0.0,0.0020697013920032044,-2.4800662892248207e-05,4.076927947814607e-05,0.0022155148132803936
51,-7.11,0.0,0.0020373802477291585,-1.2063985099888472e-05,9.643752844325823e-06,0.0021810397402664047
52,-6.22,0.0,0.0020257906306031456,-3.654394710567166e-05,1.2262558093314616e-05,0.002193387708255506
53,-5.33,0.0,0.002020369982831012,-1.8894817151293014e-05,3.141763419533709e-05,0.0021870957168406745
54,-4.44,0.0,0.002015742077554117,-2.1013285468426957e-05,2.935971653567147e-06,0.0021625109613505056
55,-3.56,0.0,0.002001072208629117,-2.4029582670507393e-05,2.6251343830739193e-06,0.002178917985261573
56,-2.67,0.0,0.00197637608874298,-1.7909250867753634e-05,3.2816819918033715e-05,0.002168023037446573
57,-1.78,0.0,0.0019735171631315752,-1.8231764552581464e-05,1.3645605901348309e-05,0.002144651843248989
58,-0.89,0.0,0.0019416232160055051,-1.7587804295726706e-05,1.1110909929550565e-05,0.002155726362016461
59,0.0,0.0,0.001874561472178321,-8.758336194888972e-06,4.648571595786518e-05,0.0021378675021176967
60,-8.0,0.89,0.002074466527895908,-1.548252490321967e-05,-3.8462455443708096e-05,0.002161330350127528
61,-7.11,0.89,0.0020269913991751137,-1.9162510868759274e-05,3.7226848634831474e-06,0.0021347418344171724
62,-6.22,0.89,0.0020210832068974696,-2.8489386049642372e-05,2.4797057095337152e-05,0.0021557683852934644
63,-5.33,0.89,0.002026998165289888,-2.471078573702476e-05,1.1398043717471946e-05,0.0021452175476859743
64,-4.44,0.89,0.0020182439530047405,-2.1517523008197058e-05,1.249504685821854e-05,0.0021240968220318916
65,-3.56,0.89,0.0020019349322046923,-2.2805135276701173e-05,2.6761605944533302e-05,0.0021567162904283896
66,-2.67,0.89,0.001982272297867533,-2.0174593923145447e-05,1.0642733980505766e-05,0.0021461451521257308
67,-1.78,0.89,0.0019725158429028146,-1.5957111101631838e-05,8.12861822106748e-06,0.00212159515034779
68,-0.89,0.89,0.0019511141093415119,-2.473078930728071e-05,2.1563876381685372e-05,0.002138375956909307
69,0.0,0.89,0.0019278073874481327,-8.708553502568932e-06,2.1323159335617358e-05,0.0021254974083959365
70,-8.0,2.67,0.0020502667361778637,-2.5666826354584296e-05,-2.391180977836995e-05,0.0021860553681627305
71,-7.11,2.67,0.0020295262099520248,-2.861964017379648e-05,1.0721062284662665e-05,0.0021854001727221973
72,-6.22,2.67,0.0020232680771153904,-1.7863836040670628e-05,6.086200893651739e-06,0.0021745502492530543
73,-5.33,2.67,0.0020214010245787097,-2.9413964211896793e-05,-3.5382841557861193e-06,0.0021733504854436875
74,-4.44,2.67,0.002013833311677267,-2.9358874232603138e-05,1.0784134985471379e-05,0.0021702923127904293
75,-3.56,2.67,0.0020024022719020637,-2.8919654739723022e-05,-1.788935866455909e-06,0.002154821184906332
76,-2.67,2.67,0.001979231533894548,-3.013835631574327e-05,-6.024342511179882e-06,0.0021488640239906787
77,-1.78,2.67,0.0019628525376654514,-3.505007395731771e-05,6.888983292921511e-06,0.0021498729756561637
78,-0.89,2.67,0.001934896208794664,-4.120201124671076e-05,-8.541215282415957e-06,0.002126089839698188
79,0.0,2.67,0.0018853448832282516,-4.5659334607909066e-05,-4.427597048028108e-05,0.0021176844841376704
80,-8.0,4.44,0.0020352968508426383,-2.8499944761423146e-05,-2.068020560539157e-05,0.002144517854346342
81,-7.11,4.44,0.002042494516022751,-2.742977073412218e-05,-1.9015597004494282e-05,0.0021407866235564274
82,-6.22,4.44,0.002019532401380279,-3.3629847661139495e-05,6.907430536509662e-07,0.0021337534377673132
83,-5.33,4.44,0.002004138750135786,-3.697066927201183e-05,2.7864468855054447e-06,0.0021337157655368566
84,-4.44,4.44,0.0020191890960906157,-3.996424174523318e-05,-2.4760725669141503e-05,0.0021207307379835032
85,-3.56,4.44,0.0020004228472539493,-4.1719706779280025e-05,-1.6511615619014403e-05,0.0021179457383371063
86,-2.67,4.44,0.001970080517702529,-4.523731235432475e-05,6.428116099445325e-07,0.0021170019772588115
87,-1.78,4.44,0.0019504663784744962,-5.086745318553902e-05,-3.705052394589736e-05,0.0021034643426270797
88,-0.89,4.44,0.0019298923492205057,-5.913213451752032e-05,-4.2608929201741995e-05,0.002095233822053155
89,0.0,4.44,0.0019130130133280243,-5.4608359774227164e-05,1.7746404724435297e-05,0.0020863194963141717
90,-8.0,6.22,0.002069310730496862,-2.4901945325141e-05,-3.229294707848048e-05,0.0020760388969364046
91,-7.11,6.22,0.0020190904731790978,-3.1666103501094486e-05,-1.05316301630895e-05,0.0020744810940294947
92,-6.22,6.22,0.0020041747069234808,-4.132641690924102e-05,-8.034325651292036e-06,0.002079168181118736
93,-5.33,6.22,0.002008892053821685,-3.6210725738426014e-05,-2.9728926066965866e-05,0.0020642429168676968
94,-4.44,6.22,0.0020042215114065808,-4.6889320323933656e-05,-2.0390496930305403e-05,0.002066685344435028
95,-3.56,6.22,0.001991828500646508,-5.069055587542115e-05,-9.185392444961173e-06,0.0020644868634221063
96,-2.67,6.22,0.0019609880523059585,-5.5680630976882514e-05,-3.514449761196636e-05,0.0020519711642716294
