operating_point,i_d_A,i_q_A,psi_d_Vs,psi_q_Vs
0,-8.0,-8.0,0.0253983783043039,-0.0173732912397792
1,-7.11,-8.0,0.027421531979683,-0.0175101952136984
2,-6.22,-8.0,0.0292113547608161,-0.0174268398477565
3,-5.33,-8.0,0.0309603570748677,-0.0173722601788069
4,-4.44,-8.0,0.0327013274022118,-0.0172988830885208
5,-3.56,-8.0,0.0344610124915049,-0.0172113998585337
6,-2.67,-8.0,0.0362203939759824,-0.0171522199834374
7,-1.78,-8.0,0.0379296752978113,-0.0170387484771054
8,-0.89,-8.0,0.0396047134547673,-0.0169566527491529
9,0.0,-8.0,0.0412851098891769,-0.016860949631447
10,-8.0,-6.22,0.0255440815782412,-0.013915617283873
11,-7.11,-6.22,0.0273459742983886,-0.0138476144184641
12,-6.22,-6.22,0.0291363733352146,-0.0137997129930005
13,-5.33,-6.22,0.0309025910524832,-0.0137125499911176
14,-4.44,-6.22,0.0326939809763291,-0.0136586229293043
15,-3.56,-6.22,0.0344574491194487,-0.0136077073165461
16,-2.67,-6.22,0.0362013391017637,-0.0135255780303375
17,-1.78,-6.22,0.0379387045461077,-0.0134490677226656
18,-0.89,-6.22,0.0396501710384913,-0.0133929168049005
19,0.0,-6.22,0.0413404976802369,-0.0132869539256666
20,-8.0,-4.44,0.0254940457122097,-0.0101294916630741
21,-7.11,-4.44,0.0273083886766234,-0.0100914833249988
22,-6.22,-4.44,0.0290859134551365,-0.0100417118162063
23,-5.33,-4.44,0.0309082805084108,-0.0099693098732637
24,-4.44,-4.44,0.0326832729238862,-0.0099325098035639
25,-3.56,-4.44,0.0344364160437731,-0.0098732123746091
26,-2.67,-4.44,0.0362156802714019,-0.0098214489809307
27,-1.78,-4.44,0.0379496184606009,-0.0097767558079243
28,-0.89,-4.44,0.0396593017906829,-0.0097015412035947
29,0.0,-4.44,0.0413807337975655,-0.0096416164297387
30,-8.0,-2.67,0.0254609565600465,-0.0062953612822461
31,-7.11,-2.67,0.0272605888946832,-0.0062230327495757
32,-6.22,-2.67,0.0290760049119313,-0.0061786685129827
33,-5.33,-2.67,0.0308702688573379,-0.0061605907988517
