parameter,value
machine_name,beckhoff_AM8141-0j00-000
R_ph_Ohm,0.51
Ld_Henry,0.00175
Lq_Henry,0.00175
Psi_PM_Vs,0.042
polePairs,4
J_kg_m_squared,0
I_max_Ampere,12
I_rated_Ampere,8
Torque_rated_Nm,1.2
Torque_max_Nm,2
Torque_min_Nm,-2
speed_rated_rpm,1000
speed_max_rpm,1500
speed_min_rpm,-1500
V_dc_nominal_V,48
I_d_max_A,10
I_d_min_A,-10
I_q_max_A,10
I_q_min_A,-10

Inenn,Imax,Udc,nnenn,Ld,Lq,Rs,p,PsiPm,Umax,KPd,KPq,KId,KIq,machine
8,12,48,1000,0.00175,0.00175,0.45,4,0.042,27.712812921102,8.75,8.75,2250,2250,M5
