operating_point,i_d_A,i_q_A,L_dd_H,L_dq_H,L_qd_H,L_qq_H
0,-30.0,-30.0,0.0005224560463229099,-7.338084756581994e-05,-8.386730293943054e-05,0.00011827627190373873
1,-25.0,-30.0,0.00054278420058993,-2.3398927860550012e-05,-2.884315476353004e-05,0.00010738350345755035
2,-20.0,-30.0,0.00054783948481929,2.6887248946930143e-05,2.5674149059230073e-05,0.00010943976963232946
3,-15.0,-30.0,0.0005303151727505499,7.20839594740701e-05,7.654595869576002e-05,0.00012117885545573923
4,-10.0,-30.0,0.0005004811171986899,0.00011047112586891003,0.00012086637083627005,0.00013978373742270893
5,-5.0,-30.0,0.00046578765076319003,0.00014653640615950063,0.0001599841895558899,0.00016571127528726935
6,0.0,-30.0,0.0004270104007821001,0.00018231913383526125,0.00019098449244925978,0.00020606128134791914
7,5.0,-30.0,0.00038016006177084006,0.0001976403231070908,0.0002066911960141301,0.00024171415443355066
8,10.0,-30.0,0.00033054698228936994,0.00020145157543676059,0.00020758455837075021,0.0002726861979273588
9,15.0,-30.0,0.00028573380702568986,0.00019329323605299072,0.00019943430133219988,0.00029375081395725073
10,20.0,-30.0,0.00024874233818446,0.0001803008918581702,0.00018665339519637996,0.00030628325870099993
11,25.0,-30.0,0.00021638082057638016,0.00016643530604801065,0.00017001737771885002,0.0003134797548532595
12,30.0,-30.0,0.00018454449332145836,0.00015315037786941968,0.00015096069054975052,0.0003168158753010593
13,-30.0,-25.0,0.0005867511914457498,-0.00012138764497809998,-0.00011512383886544018,0.0001830869345455798
14,-25.0,-25.0,0.00060624567220405,-4.3612947946409996e-05,-4.12407120924798e-05,0.00015032560973681012
15,-20.0,-25.0,0.00060683099500715,3.219014496562999e-05,3.0498451523019997e-05,0.0001423332075011899
16,-15.0,-25.0,0.0005815566689368999,9.687020547040999e-05,9.504508606438984e-05,0.00015582746759378006
17,-10.0,-25.0,0.00054645348035426,0.00015357225278905001,0.00015193621798152007,0.00018598574918532972
18,-5.0,-25.0,0.0005041972270908301,0.0002063072114072601,0.00020148304071868002,0.00023557443634324992
19,0.0,-25.0,0.00044824090316156006,0.00023536255013326002,0.0002324422906399802,0.00028570360991128017
20,5.0,-25.0,0.00038334103814324,0.00024012530397750988,0.00023987768225073003,0.0003254027499598501
21,10.0,-25.0,0.00032209144516555014,0.00022895401402136007,0.00023089923098134,0.00035182463827823987
22,15.0,-25.0,0.00027100428259630994,0.00021065024253633,0.00021327412129495005,0.0003666247808785099
23,20.0,-25.0,0.00023257315678519992,0.00019118659988242998,0.00019385261715852993,0.00037358685735559995
24,25.0,-25.0,0.00020092692475645984,0.00017283144694427017,0.00017289834607102996,0.0003756927278310999
25,30.0,-25.0,0.0001704035446100198,0.0001565215305915,0.0001503012289785304,0.00037457811416426005
26,-30.0,-20.0,0.00067997704450594,-0.00018072492550422003,-0.00017415887513012093,0.00030605058983730995
27,-25.0,-20.0,0.00069636199053366,-8.031095710130001e-05,-6.959688180791998e-05,0.0002526234228360801
28,-20.0,-20.0,0.0006883226382361099,2.8534335529610025e-05,3.117600691620002e-05,0.00021092637536557004
29,-15.0,-20.0,0.00065169728057397,0.00012258509562876,0.00012019850037989984,0.00021057580551341013
30,-10.0,-20.0,0.00060991812313554,0.00020918787884655014,0.0002006133395857399,0.00025696834993359024
31,-5.0,-20.0,0.0005475779481074,0.0002686114422712301,0.0002597020502818403,0.0003216049425258199
32,0.0,-20.0,0.0004608284933523499,0.0002866860665802199,0.00028081280606585997,0.00037874033230241006
33,5.0,-20.0,0.0003737515256589401,0.00027541716534737004,0.0002728122243810898,0.0004168675182344598
34,10.0,-20.0,0.00030107192084819005,0.0002487643113636598,0.00024880658928941,0.0004354783334733801
35,15.0,-20.0,0.00024796639288675976,0.00022094776952620994,0.00022119652040955996,0.0004422926029044198
36,20.0,-20.0,0.0002109235425924002,0.00019561766675822988,0.00019572134214897,0.00044227418070743994
37,25.0,-20.0,0.00018171575128545018,0.00017339135867814985,0.00017100863452751015,0.00043837603777252993
38,30.0,-20.0,0.0001539698972013101,0.00015428858728804007,0.00014551097907373068,0.00043159746082833993
39,-30.0,-15.0,0.0007791478040235999,-0.00024278772728615998,-0.00023370829239862008,0.00062258482680071
40,-25.0,-15.0,0.0008155049332378801,-0.00013995564982228,-0.00013636492656421973,0.0005597225611046399
41,-20.0,-15.0,0.00080972704773721,-1.7588242022889988e-05,-1.1549165799649986e-05,0.0004855246874523902
42,-15.0,-15.0,0.00076221021225384,0.00012255314272939999,0.00014108706063241,0.0004463017155801899
43,-10.0,-15.0,0.0006924798269967301,0.00025558563666780996,0.0002629653549939298,0.0004393209630253903
44,-5.0,-15.0,0.0005816954148244999,0.0003292486091787299,0.00032325502308749984,0.00046440517582678996
45,0.0,-15.0,0.0004550466262377,0.0003319886608586,0.00032770486634862013,0.0005110960693248598
46,5.0,-15.0,0.00034541928292667994,0.00029603067524434023,0.00029661568342170006,0.0005357771180695201
47,10.0,-15.0,0.00026762204934439003,0.0002546954405506799,0.0002563243156513,0.00054052339253678
48,15.0,-15.0,0.00021785763799088003,0.00021919155957297008,0.00022006996852900993,0.0005361305149839399
49,20.0,-15.0,0.00018501674593713983,0.00018903990437819026,0.00018993605202664003,0.0005261801150379101
50,25.0,-15.0,0.00015959784528627,0.00016279502451907978,0.00016222162619192998,0.00051079182354483
51,30.0,-15.0,0.00013532153851977032,0.00014040656986059988,0.00013386364108086994,0.0004919040199623599
52,-30.0,-10.0,0.0008661058690981898,-0.00025383924096675,-0.00028854779856608056,0.0010953216128174801
53,-25.0,-10.0,0.0009215614757969298,-0.0001865706649286,-0.0002066570211562398,0.00110497156035773
54,-20.0,-10.0,0.0009508314307877901,-8.555173463455003e-05,-8.224483860824992e-05,0.0010847681965353898
