i_d_A,i_q_A,psi_d_Vs,psi_q_Vs
-30.0,-30.0,-0.0030873666473114,-0.0225765535885894
-25.0,-30.0,-0.0004242660300293,-0.0228583297328468
-20.0,-30.0,0.0023404753585879,-0.0228649851362247
-15.0,-30.0,0.0050541288181636,-0.0226015882422545
-10.0,-30.0,0.0076436270860934,-0.0220995255492671
-5.0,-30.0,0.0100589399901505,-0.0213929245338918
0.0,-30.0,0.0123015035937253,-0.0204996836537082
5.0,-30.0,0.0143290439979715,-0.0194830796093992
10.0,-30.0,0.0161031042114337,-0.0184327716935669
15.0,-30.0,0.0176345138208652,-0.0174072340256917
20.0,-30.0,0.0189604422816906,-0.0164384286802449
25.0,-30.0,0.0201219372027098,-0.0155407000737279
30.0,-30.0,0.0211242504874544,-0.0147382549030564
-30.0,-25.0,-0.0035742878786712,-0.0218231455724661
-25.0,-25.0,-0.0005917957195467,-0.0222140569498609
-20.0,-25.0,0.0024881688433693,-0.0222355526933909
-15.0,-25.0,0.0054765142305248,-0.0219090724346307
-10.0,-25.0,0.0083037355327383,-0.021285101832747
-5.0,-25.0,0.0109410490340674,-0.0203897102548155
0.0,-25.0,0.0133457078036466,-0.0192702714255602
5.0,-25.0,0.015423458065683,-0.0180652873484157
10.0,-25.0,0.017179118185079,-0.0168714946030529
15.0,-25.0,0.0186443725173385,-0.0157562950386023
20.0,-25.0,0.0198891610110421,-0.0147387533901034
25.0,-25.0,0.0209701040851905,-0.013817768867017
30.0,-25.0,0.0218984302586067,-0.0130097699293931
-30.0,-20.0,-0.0043012430970924,-0.0207456842431336
-25.0,-20.0,-0.0008603955094934,-0.0213550736354787
-20.0,-20.0,0.0026623768082442,-0.0214416530612128
-15.0,-20.0,0.0060228308728677,-0.0210433135663167
-10.0,-20.0,0.0091793496139839,-0.0202396680574138
-5.0,-20.0,0.0121220121042231,-0.0190371801704593
0.0,-20.0,0.0146551290950579,-0.0176426475545954
5.0,-20.0,0.0167302970377466,-0.0162290521098007
10.0,-20.0,0.0183926443516473,-0.0149145253107845
15.0,-20.0,0.0197410162462285,-0.0137409862169066
20.0,-20.0,0.0208723082805149,-0.0127025601066889
25.0,-20.0,0.0218502516721525,-0.0117837727954169
30.0,-20.0,0.0226894657933694,-0.0109924737614138
-30.0,-15.0,-0.0053815371337134,-0.018762639674093
-25.0,-15.0,-0.0013949052905597,-0.0196878227215001
-20.0,-15.0,0.0027735121986654,-0.0201262889397352
-15.0,-15.0,0.0067023651868124,-0.0198033143794966
-10.0,-15.0,0.0103956143212038,-0.0187154183334111
-5.0,-15.0,0.0136271634567797,-0.0171736608295573
0.0,-15.0,0.0162125684694488,-0.0154828681025361
5.0,-15.0,0.0181776297191567,-0.0138966121660711
10.0,-15.0,0.0196667612987156,-0.0125167112683191
15.0,-15.0,0.0208538502126006,-0.0113333690095581
20.0,-15.0,0.0218453376786244,-0.010316011583029
25.0,-15.0,0.022704017671972,-0.0094340084892917
30.0,-15.0,0.0234413161314871,-0.0086937953211097
-30.0,-10.0,-0.006729120369954,-0.0145198359751265
-25.0,-10.0,-0.0022599520077162,-0.0157578480244323
-20.0,-10.0,0.0024864943880153,-0.0165864061866889
-15.0,-10.0,0.0072483623001617,-0.0165802964105148
-10.0,-10.0,0.011735205980662,-0.0158464584271599
-5.0,-10.0,0.0154144981960104,-0.0143931284121914
0.0,-10.0,0.0179750157036439,-0.0125316868613468
5.0,-10.0,0.01969060379019,-0.0108712809291055
10.0,-10.0,0.0209395987571541,-0.0095092913854167
15.0,-10.0,0.0219329318419582,-0.0083796810670672
20.0,-10.0,0.0227627073242968,-0.0074407589563098
25.0,-10.0,0.0234782019173433,-0.0066758545599686
30.0,-10.0,0.0240935314919754,-0.0060734335617902
-30.0,-5.0,-0.0079199295433809,-0.0078094235459182
-25.0,-5.0,-0.0032606119398457,-0.0086381071179228
-20.0,-5.0,0.0019179948523199,-0.0092786069743813
