I_d,I_q,Psi_d,Psi_q,L_dd,L_dq,L_qd,L_qq
-30.0,-30.0,-0.0030873666473114937,-0.02257655358858946,0.0002722527875678482,-4.242431661462068e-05,-4.2344356389346176e-05,6.959334938657765e-05
-30.0,-25.0,-0.003574287878671269,-0.02182314557246612,0.00030687568681304287,-0.00011903054703650086,-5.9401804678814754e-05,0.00017746360626488857
-30.0,-20.0,-0.0043012430970924545,-0.020745684243133694,0.0003514588189423704,-0.0001774961456846003,-8.804251041317616e-05,0.0002690016797210193
-30.0,-15.0,-0.005381537133713473,-0.018762639674093015,0.00040562912837631963,-0.00024574478519071165,-0.0001221754960353753,0.0005665799388073496
-30.0,-10.0,-0.00672912036995405,-0.014519835975126547,0.00044769574001161244,-0.0002833495304838403,-0.00014182967926512543,0.0011219924686054563
-30.0,-5.0,-0.00791992954338092,-0.0078094235459182475,0.00046325497590143184,-0.00017853902557219285,-8.894590084810776e-05,0.0015228964226417375
-30.0,0.0,-0.00840376838586116,0.0003506926618703846,0.0004625159950932241,2.4616604098998336e-05,2.5599424145552074e-06,0.0016795143235361386
-30.0,5.0,-0.007855652925118197,0.008454762542097006,0.00046100461858718705,0.00018362435568105098,9.152343922726487e-05,0.001503461875223243
-30.0,10.0,-0.0066461014277341135,0.015004458880092856,0.00044273959889775305,0.00028177168731542365,0.00014100425690128821,0.001079544106605628
-30.0,15.0,-0.005331261782787836,0.01900660109393253,0.0003972333189953955,0.00024081557517946712,0.0001192271515378997,0.0005320729961442751
-30.0,20.0,-0.004283627321085713,0.020864023865502884,0.00034728984088045075,0.00017180472835300699,8.491956259278306e-05,0.0002560956371030739
-30.0,25.0,-0.0035739362265267676,0.021903465664191126,0.0003024140442043803,0.00011593448765951802,5.7880281431418956e-05,0.00017169535842214356
-30.0,30.0,-0.0030941320264937025,0.02264146071817357,0.0002687963499946667,4.322960665707884e-05,4.145225120009472e-05,6.883186827933781e-05
-25.0,-30.0,-0.0004242660300293262,-0.022858329732846877,0.0005543989426028728,-1.4716861188196324e-05,-3.009933246421088e-05,6.156206938231259e-05
-25.0,-25.0,-0.000591795719546789,-0.022214056949860953,0.0006190994226170478,-4.113710049888747e-05,-4.231435233335939e-05,0.00014633494442591993
-25.0,-20.0,-0.0008603955094934463,-0.021355073635478762,0.0007149100642866278,-7.210349492264944e-05,-7.31269016383076e-05,0.0002087441496336627
-25.0,-15.0,-0.0013949052905597233,-0.019687822721500187,0.0008341479726426193,-0.00013835688804829981,-0.00013910799774780345,0.0005470489510477292
-25.0,-10.0,-0.002259952007716222,-0.015757848024432357,0.000945318448804799,-0.00022177694103362976,-0.0002224769650441435,0.0011327967600416298
-25.0,-5.0,-0.003260611939845747,-0.00863810711792285,0.00100119785349991,-0.0001558241632806127,-0.00015670562400945594,0.0016429592955869558
-25.0,0.0,-0.0036390835619785843,0.0003733222460872727,0.001029617481114571,1.9762207782076035e-05,2.013463409446363e-06,0.0018975142339799518
-25.0,5.0,-0.003222301236734915,0.009286634696154683,0.000994867842022185,0.00015497107044775408,0.00015421430959503622,0.001618327698630808
-25.0,10.0,-0.0022360463073244326,0.016216081100102277,0.0009313517711232197,0.0002121181135291395,0.00021226283867776957,0.0010668165998663868
-25.0,15.0,-0.0014142200140423178,0.019916821014302616,0.0008223164288281234,0.00013872078214104749,0.00013864393708906407,0.0005119489824661463
-25.0,20.0,-0.0008995686886407633,0.02144899552698478,0.0007023753299677034,6.98332524187781e-05,6.873441437096726e-05,0.00019976763458401237
-25.0,25.0,-0.0006335938008363458,0.022281441165897888,0.0006115805723330028,4.2043265202280184e-05,4.132532040768696e-05,0.00014385243560429756
-25.0,30.0,-0.00046170559346934466,0.02291648039785829,0.0005478571382122645,1.5710797398334486e-05,2.9461128185069284e-05,6.125457011764479e-05
-20.0,-30.0,0.002340475358587978,-0.022864985136224716,0.0005500486756878392,1.3797972939966349e-05,2.665877786624654e-05,6.085217622599216e-05
-20.0,-25.0,0.0024881688433693932,-0.02223555269339093,0.0006082446145931749,3.3068678438685604e-05,3.2542020814611605e-05,0.00014079297810612126
-20.0,-20.0,0.0026623768082442443,-0.021441653061212873,0.0006908929893889342,3.543808312713438e-05,3.503224314841812e-05,0.00018332722637408604
-20.0,-15.0,0.0027735121986654536,-0.020126288939735212,0.0008223469456034607,-2.4041641294092908e-05,-2.487026695204531e-05,0.00048792081086063626
-20.0,-10.0,0.002486494388015329,-0.016586406186688926,0.0009482197148126597,-9.002110499450796e-05,-9.057903339150827e-05,0.0010428022579293042
-20.0,-5.0,0.0019179948523199376,-0.009278606974381359,0.0010574369478177788,-0.00010436102824489828,-0.00010512635633128529,0.001743938008317785
-20.0,0.0,0.0016534389831762263,0.00036934972450469624,0.001078007147334301,1.3932499632228893e-05,-3.204415286872271e-06,0.0020307251437762007
-20.0,5.0,0.001923403930474225,0.009907374872957057,0.0010504552782079064,9.925337175380002e-05,9.919105046926448e-05,0.0017146609549966018
-20.0,10.0,0.002434486210531248,0.016974043792268228,0.000933322665080173,7.56111462189958e-05,7.49327513415248e-05,0.0009660370169836534
