input_v_d_V,input_v_q_V,input_omega_mech_1_s,input_load_torque,output_i_d_A,output_i_q_A,output_torque_Nm,output_omega_mech_1_s
1.000000,0.500000,0.000000,0.000000,0.100000,0.033333,0.010000,0.000000
1.000000,0.500000,0.000000,0.000000,0.190000,0.064444,0.019315,0.000000
1.000000,0.500000,0.000000,0.000000,0.271000,0.093481,0.027994,0.000000
1.000000,0.500000,0.000000,0.000000,0.343900,0.120583,0.036082,0.000000
1.000000,0.500000,0.000000,0.000000,0.409510,0.145877,0.043620,0.000000
1.000000,0.500000,0.000000,0.000000,0.468559,0.169485,0.050647,0.000000
1.000000,0.500000,0.000000,0.000000,0.521703,0.191520,0.057199,0.000000
1.000000,0.500000,0.000000,0.000000,0.569533,0.212085,0.063308,0.000000
1.000000,0.500000,0.000000,0.000000,0.612579,0.231279,0.069005,0.000000
1.000000,0.500000,0.000000,0.000000,0.651322,0.249194,0.074318,0.000000
1.000000,0.500000,0.000000,0.000000,0.686189,0.265914,0.079275,0.000000
1.000000,0.500000,0.000000,0.000000,0.717570,0.281520,0.083898,0.000000
1.000000,0.500000,0.000000,0.000000,0.745813,0.296085,0.088211,0.000000
1.000000,0.500000,0.000000,0.000000,0.771232,0.309680,0.092235,0.000000
1.000000,0.500000,0.000000,0.000000,0.794109,0.322368,0.095989,0.000000
1.000000,0.500000,0.000000,0.000000,0.814698,0.334210,0.099492,0.000000
1.000000,0.500000,0.000000,0.000000,0.833228,0.345263,0.102760,0.000000
1.000000,0.500000,0.000000,0.000000,0.849905,0.355578,0.105810,0.000000
1.000000,0.500000,0.000000,0.000000,0.864915,0.365207,0.108656,0.000000
1.000000,0.500000,0.000000,0.000000,0.878423,0.374193,0.111312,0.000000
1.000000,0.500000,0.000000,0.000000,0.890581,0.382580,0.113791,0.000000
1.000000,0.500000,0.000000,0.000000,0.901523,0.390408,0.116104,0.000000
1.000000,0.500000,0.000000,0.000000,0.911371,0.397714,0.118263,0.000000
1.000000,0.500000,0.000000,0.000000,0.920233,0.404533,0.120278,0.000000
1.000000,0.500000,0.000000,0.000000,0.928210,0.410898,0.122159,0.000000
1.000000,0.500000,0.000000,0.000000,0.935389,0.416838,0.123914,0.000000
1.000000,0.500000,0.000000,0.000000,0.941850,0.422382,0.125552,0.000000
1.000000,0.500000,0.000000,0.000000,0.947665,0.427556,0.127081,0.000000
1.000000,0.500000,0.000000,0.000000,0.952899,0.432386,0.128508,0.000000
1.000000,0.500000,0.000000,0.000000,0.957609,0.436894,0.129839,0.000000
1.000000,0.500000,0.000000,0.000000,0.961848,0.441101,0.131083,0.000000
1.000000,0.500000,0.000000,0.000000,0.965663,0.445027,0.132243,0.000000
1.000000,0.500000,0.000000,0.000000,0.969097,0.448692,0.133326,0.000000
1.000000,0.500000,0.000000,0.000000,0.972187,0.452113,0.134337,0.000000
1.000000,0.500000,0.000000,0.000000,0.974968,0.455305,0.135280,0.000000
1.000000,0.500000,0.000000,0.000000,0.977472,0.458285,0.136161,0.000000
1.000000,0.500000,0.000000,0.000000,0.979724,0.461066,0.136983,0.000000
1.000000,0.500000,0.000000,0.000000,0.981752,0.463661,0.137750,0.000000
1.000000,0.500000,0.000000,0.000000,0.983577,0.466084,0.138466,0.000000
1.000000,0.500000,0.000000,0.000000,0.985219,0.468345,0.139135,0.000000
1.000000,0.500000,0.000000,0.000000,0.986697,0.470455,0.139759,0.000000
1.000000,0.500000,0.000000,0.000000,0.988027,0.472425,0.140341,0.000000
1.000000,0.500000,0.000000,0.000000,0.989225,0.474263,0.140885,0.000000
1.000000,0.500000,0.000000,0.000000,0.990302,0.475979,0.141392,0.000000
1.000000,0.500000,0.000000,0.000000,0.991272,0.477581,0.141865,0.000000
1.000000,0.500000,0.000000,0.000000,0.992145,0.479075,0.142307,0.000000
1.000000,0.500000,0.000000,0.000000,0.992930,0.480470,0.142720,0.000000
1.000000,0.500000,0.000000,0.000000,0.993637,0.481772,0.143105,0.000000
1.000000,0.500000,0.000000,0.000000,0.994274,0.482987,0.143465,0.000000
1.000000,0.500000,0.000000,0.000000,0.994846,0.484122,0.143800,0.000000
1.000000,0.500000,0.000000,0.000000,0.995362,0.485180,0.144113,0.000000
1.000000,0.500000,0.000000,0.000000,0.995825,0.486168,0.144406,0.000000
1.000000,0.500000,0.000000,0.000000,0.996243,0.487090,0.144678,0.000000
