  i        counter                    sine_float                  sine_apFixed                  square_float               square_apFixed                triangle_float             triangle_apFixed

  0              0                0.000000000000                0.000000000000                2.000000000000                            2                0.000000000000                            0
  1              1                0.618034005165                0.615234375000                2.000000000000                            2                0.250000000000                         0.25
  2              2                1.175570487976                1.170898437500                2.000000000000                            2                0.500000000000                          0.5
  3              3                1.618034005165                1.612792968750                2.000000000000                            2                0.750000000000                         0.75
  4              4                1.902113080025                1.898437500000                2.000000000000                            2                1.000000000000                            1
  5              5                2.000000000000                1.999511718750                2.000000000000                            2                1.250000000000                         1.25
  6              6                1.902112960815                1.907226562500                2.000000000000                            2                1.500000000000                          1.5
  7              7                1.618034005165                1.629394531250                2.000000000000                            2                1.750000000000                         1.75
  8              8                1.175570368767                1.193359375000                0.000000000000                            0                2.000000000000                            2
  9              9                0.618033587933                0.642089843750                0.000000000000                            0                1.750000000000                         1.75
 10             10               -0.000000174846                0.027832031250                0.000000000000                            0                1.500000000000                          1.5
 11             11               -0.618033945560               -0.588378906250                0.000000000000                            0                1.250000000000                         1.25
 12             12               -1.175570726395               -1.147949218750                0.000000000000                            0                1.000000000000                            1
 13             13               -1.618034243584               -1.596191406250                0.000000000000                            0                0.750000000000                         0.75
 14             14               -1.902112960815               -1.889648437500                0.000000000000                            0                0.500000000000                          0.5
 15             15               -2.000000000000               -2.000000000000                0.000000000000                            0                0.250000000000                         0.25
 16             16               -1.902112960815               -1.916015625000                2.000000000000                            2                0.000000000000                            0
 17             17               -1.618033647537               -1.645996093750                2.000000000000                            2                0.250000000000                         0.25
 18             18               -1.175569891930               -1.216796875000                2.000000000000                            2                0.500000000000                          0.5
 19             19               -0.618033885956               -0.669433593750                2.000000000000                            2                0.750000000000                         0.75
 20             20                0.000000349691               -0.056640625000                2.000000000000                            2                1.000000000000                            1
 21             21                0.618034541607                0.561035156250                2.000000000000                            2                1.250000000000                         1.25
 22             22                1.175570487976                1.124511718750                2.000000000000                            2                1.500000000000                          1.5
 23             23                1.618034124374                1.578613281250                2.000000000000                            2                1.750000000000                         1.75
 24             24                1.902113199234                1.879882812500                0.000000000000                            0                2.000000000000                            2
 25             25                2.000000000000                1.998535156250                0.000000000000                            0                1.750000000000                         1.75
 26             26                1.902112722397                1.923339843750                0.000000000000                            0                1.500000000000                          1.5
 27             27                1.618033289909                1.661621093750                0.000000000000                            0                1.250000000000                         1.25
 28             28                1.175570845604                1.238281250000                0.000000000000                            0                1.000000000000                            1
 29             29                0.618034183979                0.695312500000                0.000000000000                            0                0.750000000000                         0.75
 30             30               -0.000000047700                0.084472656250                0.000000000000                            0                0.500000000000                          0.5
 31             31               -0.618034303188               -0.534179687500                0.000000000000                            0                0.250000000000                         0.25
 32             32               -1.175570964813               -1.101562500000                2.000000000000                            2                0.000000000000                            0
 33             33               -1.618034482002               -1.561523437500                2.000000000000                            2                0.250000000000                         0.25
 34             34               -1.902113318443               -1.870605468750                2.000000000000                            2                0.500000000000                          0.5
 35             35               -2.000000000000               -1.997558593750                2.000000000000                            2                0.750000000000                         0.75
 36             36               -1.902112483978               -1.931152343750                2.000000000000                            2                1.000000000000                            1
 37             37               -1.618034005165               -1.677734375000                2.000000000000                            2                1.250000000000                         1.25
 38             38               -1.175570368767               -1.261230468750                2.000000000000                            2                1.500000000000                          1.5
 39             39               -0.618033587933               -0.722167968750                2.000000000000                            2                1.750000000000                         1.75
 40             40                0.000000699382               -0.113281250000                0.000000000000                            0                2.000000000000                            2
 41             41                0.618034899235                0.506347656250                0.000000000000                            0                1.750000000000                         1.75
 42             42                1.175571441650                1.077148437500                0.000000000000                            0                1.500000000000                          1.5
 43             43                1.618034839630                1.543457031250                0.000000000000                            0                1.250000000000                         1.25
 44             44                1.902112960815                1.859863281250                0.000000000000                            0                1.000000000000                            1
 45             45                2.000000000000                1.995605468750                0.000000000000                            0                0.750000000000                         0.75
 46             46                1.902112960815                1.937988281250                0.000000000000                            0                0.500000000000                          0.5
 47             47                1.618033647537                1.692382812500                0.000000000000                            0                0.250000000000                         0.25
 48             48                1.175569772720                1.282226562500                2.000000000000                            2                0.000000000000                            0
 49             49                0.618032932281                0.748046875000                2.000000000000                            2                0.250000000000                         0.25
