"Iq []","Id []","mean(Psi_d) [Wb]","mean(Psi_q) [Wb]"
0,150,0.0217470691952722,8.31121438553415E-06
25,150,0.0216881519047332,0.00162058362139269
50,150,0.0215800706473732,0.00274654762953655
75,150,0.021422337723726,0.00381647083799832
100,150,0.0212146109596835,0.00486130871954055
125,150,0.0209579143417912,0.00588730698466618
150,0,2.14049700440498E-06,0.00870694536752291
150,25,0.00572727196757646,0.00867333384579819
150,50,0.0115588057587779,0.008520199769111
150,75,0.0159706012431867,0.00812156646905219
150,100,0.0183327852896811,0.00765382983783792
150,125,0.0197257059458916,0.00724491967857476
150,150,0.0206543268980472,0.00689451580077943
