C-Name;C-Pin;Module Net Name;FPGA Pin Name
J1;1;GND;---
J1;2;B230_TX3_P;A8
J1;3;B230_RX3_P;A4
J1;4;B230_TX3_N;A7
J1;5;B230_RX3_N;A3
J1;6;GND;---
J1;7;GND;---
J1;8;B230_TX2_P;B6
J1;9;B230_RX2_P;B2
J1;10;B230_TX2_N;B5
J1;11;B230_RX2_N;B1
J1;12;GND;---
J1;13;GND;---
J1;14;B230_TX1_P;C8
J1;15;B230_RX1_P;C4
J1;16;B230_TX1_N;C7
J1;17;B230_RX1_N;C3
J1;18;GND;---
J1;19;GND;---
J1;20;B230_TX0_P;D6
J1;21;B230_RX0_P;D2
J1;22;B230_TX0_N;D5
J1;23;B230_RX0_N;D1
J1;24;GND;---
J1;25;GND;---
J1;26;B229_TX3_P;E4
J1;27;B229_RX3_P;F2
J1;28;B229_TX3_N;E3
J1;29;B229_RX3_N;F1
J1;30;GND;---
J1;31;GND;---
J1;32;B229_TX2_P;F6
J1;33;B229_RX2_P;G4
J1;34;B229_TX2_N;F5
J1;35;B229_RX2_N;G3
J1;36;GND;---
J1;37;GND;---
J1;38;B229_TX1_P;H6
J1;39;B229_RX1_P;H2
J1;40;B229_TX1_N;H5
J1;41;B229_RX1_N;H1
J1;42;GND;---
J1;43;GND;---
J1;44;B229_TX0_P;J4
J1;45;B229_RX0_P;K2
J1;46;B229_TX0_N;J3
J1;47;B229_RX0_N;K1
J1;48;GND;---
J1;49;GND;---
J1;50;B228_TX3_P;K6
J1;51;B228_RX3_P;L4
J1;52;B228_TX3_N;K5
J1;53;B228_RX3_N;L3
J1;54;GND;---
J1;55;GND;---
J1;56;B228_TX2_P;M6
J1;57;B228_RX2_P;M2
J1;58;B228_TX2_N;M5
J1;59;B228_RX2_N;M1
J1;60;GND;---
J1;61;GND;---
J1;62;B228_TX1_P;N4
J1;63;B228_RX1_P;P2
J1;64;B228_TX1_N;N3
J1;65;B228_RX1_N;P1
J1;66;GND;---
J1;67;GND;---
J1;68;B228_TX0_P;P6
J1;69;B228_RX0_P;R4
J1;70;B228_TX0_N;P5
J1;71;B228_RX0_N;R3
J1;72;GND;---
J1;73;GND;---
J1;74;B66_L9_P;U5
J1;75;B66_L6_P;T1
J1;76;B66_L9_N;U4
J1;77;B66_L6_N;U1
J1;78;GND;---
J1;79;GND;---
J1;80;B66_L24_N;K10
J1;81;B66_L5_P;U2
J1;82;B66_L24_P;L10
J1;83;B66_L5_N;U3
J1;84;GND;---
J1;85;GND;---
J1;86;B66_L13_P;U8
J1;87;B66_L4_N;V1
J1;88;B66_L13_N;V8
J1;89;B66_L4_P;V2
J1;90;VCCO_66;---
J1;91;PL_1V8;---
J1;92;B66_L11_N;V6
J1;93;B66_L3_N;W1
J1;94;B66_L11_P;V7
J1;95;B66_L3_P;W2
J1;96;GND;---
J1;97;GND;---
J1;98;B66_L7_P;W5
J1;99;B66_L2_N;Y1
J1;100;B66_L7_N;Y5
J1;101;B66_L2_P;Y2
J1;102;GND;---
J1;103;GND;---
J1;104;B66_L21_N;M12
J1;105;B66_L17_P;U9
J1;106;B66_L21_P;N12
J1;107;B66_L17_N;V9
J1;108;VREF_66;W9
J1;109;GND;---
J1;110;B66_L23_N;L11
J1;111;B66_L20_N;P10
J1;112;B66_L23_P;L12
J1;113;B66_L20_P;P11
J1;114;GND;---
J1;115;GND;---
J1;116;B66_L12_N;W6
J1;117;B66_L22_N;M10
J1;118;B66_L12_P;W7
J1;119;B66_L22_P;N10
J1;120;VCCO_66;---
J1;121;PL_1V8;---
J1;122;B66_L16_N;W10
J1;123;B66_L19_N;T10
J1;124;B66_L16_P;W11
J1;125;B66_L19_P;R10
J1;126;GND;---
J1;127;GND;---
J1;128;B66_L8_P;V4
J1;129;B66_L18_P;T11
J1;130;B66_L8_N;W4
J1;131;B66_L18_N;U10
J1;132;GND;---
J1;133;GND;---
J1;134;B66_L15_P;U11
J1;135;B66_L10_N;U6
J1;136;B66_L15_N;V11
J1;137;B66_L10_P;U7
J1;138;GND;---
J1;139;GND;---
J1;140;B66_L1_N;Y3
J1;141;B66_T3;N11
J1;142;B66_L1_P;Y4
J1;143;B66_T2;Y10
J1;144;GND;---
J1;145;B66_T1;Y7
J1;146;B66_L14_N;Y8
J1;147;B66_T0;V3
J1;148;B66_L14_P;Y9
J1;149;GND;---
J1;150;GND;---
J1;151;PL_DCIN;---
J1;152;GND;---
J1;153;PL_DCIN;---
J1;154;GND;---
J1;155;PL_DCIN;---
J1;156;GND;---
J1;157;PL_DCIN;---
J1;158;GND;---
J1;159;PL_DCIN;---
J1;160;GND;---
J2;1;CLK0_N;--
J2;2;GND;---
J2;3;CLK0_P;--
J2;4;IN1_P;--
J2;5;GND;---
J2;6;IN1_N;--
J2;7;CLK8_P;--
J2;8;GND;---
J2;9;CLK8_N;--
